gen,mean,max,std
0,-5.527898501458849,28.350113007676075,6.101670720026547
1,-0.3266549192094999,50.698922749461644,11.730183546932363
2,3.870015181073789,39.074117525365956,12.808791922232183
3,6.314925933321275,30.724386015380666,13.044753025032247
4,3.770413661172833,30.724386015380666,11.399110099661508
5,6.638880215974816,29.888637669730986,10.62695684618256
6,16.117001200398366,52.811160964140726,12.697517201308488
7,20.153286323236834,43.26291095935042,9.920447979310165
8,20.026809059607288,51.735994967366096,13.494016045561636
9,23.052904244115553,51.735994967366096,12.94163270397306
10,25.27998851355887,46.854887282263654,10.88077886017743
11,28.01850775797806,56.51056829717071,11.775507461790015
12,26.973040658474687,45.552935480209364,9.651578697233324
13,30.648357562297996,48.83103358652566,10.639391142636322
14,28.527782248706316,49.761089078553354,10.085777637897824
15,33.572971155264916,51.75855945858656,11.065027021871487
16,31.456084361323054,51.73408608018006,7.914716816054644
17,32.32163378536733,55.74243287831119,10.245111386666347
18,37.133821999711046,52.46088644595113,9.981445277803827
19,37.52436377503454,60.58041070847469,12.127623757330536
20,31.624348813188213,56.551247410410284,13.853924065668924
21,34.38184507172662,70.14636408864406,12.773582771536534
22,32.36525963960809,61.29127748197536,12.53531002265545
23,30.669986185463863,46.69498632221375,9.896138386138386
24,33.95302703453871,61.19390672618297,11.304948124075693
25,36.32568490641658,69.9922526229736,13.372946688685621
26,43.01254160051689,69.9922526229736,15.395826996032454
27,41.108634029263065,69.9922526229736,14.902512037634867
28,35.983679510830456,64.69265593235414,12.410440795848386
29,37.940543890775615,70.03801852329124,14.448070829257944
30,40.97298180857731,70.03801852329124,12.746307188640195
31,41.30524071852035,61.11856396198737,8.55560768984902
32,41.05650098788325,61.23336090847837,12.051939535475967
33,40.946197646148164,61.08536301454261,10.597369117163218
34,42.724270737319365,64.59473663538213,9.969925873613642
35,45.038172549573034,72.35450210072014,16.39455543785226
36,41.6762965480579,72.35450210072014,14.227656193941685
37,38.90875523532505,69.93381570216796,12.335957119736056
38,41.99460670866113,72.30268957560727,15.401497717579062
39,43.30951385154826,66.08636873139011,14.00639090316892
40,41.840815505205555,69.74428992624927,12.884542759782935
41,46.07680232049093,64.42119382868285,11.219755813231385
42,45.058447874114954,69.75665022994733,11.104792239970534
43,46.686531214355036,69.71080773536394,11.820628740868079
44,49.26160425205316,69.71080773536394,10.65249292379258
45,52.1654108027664,72.28542351822988,11.942721699112129
46,48.10320836704046,69.97296045215627,10.750560437585104
47,47.31190911850062,69.81862395722239,12.988382127278902
48,49.591389851138736,69.75578576935385,14.082815292077889
49,50.15240374880003,69.75578576935385,11.981885955178678
50,54.052322655878086,73.2033453232477,13.43953519980972
51,54.58954525633014,72.31923503838307,13.086813819496765
52,53.51492875619625,72.29528864529263,10.774324436457363
53,49.19806398841189,72.25684130260275,13.176875806984418
54,47.41509275999115,72.3024836613266,13.631193617294107
55,49.51297001638991,72.32392383076713,12.407757926345274
56,50.28079657427287,72.29715637578502,15.170917235090679
57,52.05775210769209,72.24705873455316,13.129862811971327
58,51.584037649725,70.22206692272925,13.729449132647494
59,54.94911351863743,72.62991787537058,12.275294300372634
60,53.838672651625735,72.62991787537058,13.803179980284835
61,50.63502494285483,72.25155648072764,14.183507401314895
62,51.755950936680804,69.99596214566232,10.834573374411164
63,50.95799371805897,72.17555093397092,11.655294913504724
64,54.771912709051655,74.77020568686682,11.939996963166406
65,56.898959650828246,78.09526224747538,12.6148754277357
66,54.38665163252842,78.09526224747538,12.65103037294402
67,53.18451331563398,69.84684957144594,10.929369153678971
68,53.680529294530885,69.81967966147442,11.420681578115383
69,54.9717986457038,72.57367874279736,11.159817301322164
70,56.9588920102175,72.31565080719766,11.84959791192749
71,52.90716556211908,74.81043995498158,14.644836519803608
72,55.97327104433391,74.81043995498158,11.404267709360166
73,55.52193253855684,74.81043995498158,13.525569108650613
74,53.40001635942596,74.81043995498158,11.530021194531272
75,54.94651102955304,74.7757452916889,11.423601730364128
76,56.28386452718058,74.7757452916889,13.180967115280623
77,54.159094802462214,74.7757452916889,11.533402358273175
78,60.79240564554502,78.22452246246866,10.970361286017404
79,59.20059544434287,78.22452246246866,11.211426182817261
80,57.35325245746315,72.88376767338298,11.368961688743395
81,58.80551563079904,72.88376767338298,9.950300457809936
82,58.436627719058876,70.11566137510671,7.977237598277695
83,59.26996399053051,78.68904142310656,9.878429056052301
84,55.88782460249429,78.68904142310656,11.22146425183987
85,54.9861078596969,78.21799221482803,14.499876846144845
86,58.82019838930168,72.82266006382946,10.14361675104751
87,57.61945179350736,69.78903799085329,10.120378135573159
88,58.715489681020266,72.79277955587008,10.046241405806528
89,56.87932351320832,72.79277955587008,11.551563856061913
90,55.16154508821634,72.79277955587008,9.997191028483089
91,57.61572952211288,72.79277955587008,10.02278501174964
92,60.40558397482709,72.79277955587008,7.1598628697753455
93,57.101534613043285,74.79125364114313,9.663438688659493
94,57.9237219161547,72.29478577941569,9.514584438461942
95,59.61766181096592,69.88315723479887,8.183389837034506
96,59.167899435690714,74.80566045034568,9.339076440422607
97,58.69457055227093,74.80566045034568,8.750483709937493
98,59.53290409777824,74.80566045034568,9.384704947139793
99,59.33641347554563,70.06623361520175,7.855830552104063
100,58.90721589735976,69.82711039317607,9.314284988493549
