gen,mean_fitness,max_fitness,std_fitness,mean_player_life,mean_enemy_life,mean_time
0,0.24441640576414903,7.997572929915908,1.9248903639415904,-0.4582638055381211,91.56617325286484,209.4274373292816
1,1.619337276496728,26.44196271813238,5.3389773601474495,-0.366185172138641,90.0896787496132,204.7792652997727
2,2.7427390671490297,26.44196271813238,7.052362521138666,-0.3272293027621898,90.99864639286878,197.67445949477136
3,2.5566249145119233,20.852885682970026,6.34251348980048,-0.44326714353640645,89.66404250809795,201.20306269986156
4,7.086006528433341,20.852885682970026,9.290594256139624,-0.366185172138641,90.6467560676811,202.8933297183658
5,3.639156584966283,20.852885682970026,6.693598476972916,-0.3204120256213108,90.69873193970791,198.29852761408452
6,3.1507592384296834,12.437694101250946,3.565851266348969,-0.34177282732939823,90.75036683297232,202.52406659080768
7,7.379621592996114,38.852885682970026,9.887065254045195,-0.3204120256213108,90.84102625260213,199.51720771859792
8,6.843529540454984,20.78285540200166,7.217808558954584,-0.4529033857871979,89.43934778001311,202.36945033065987
9,6.69582704456444,20.852885682970026,7.036248676655547,-0.3272293027621898,91.14396824433521,200.2216130206563
10,7.271976580509899,25.908116907963215,8.569330855958615,-0.33434298325702,90.95144581486424,201.32896148411922
11,9.236949767293735,25.908116907963215,8.631263018491193,-0.3576692379028586,90.8642733684327,201.6465914389006
12,15.600455306515169,24.87538820250189,7.241877119510998,-0.33434298325702,90.80296479271375,197.82748253723722
13,20.188969353187087,26.28759422170035,3.8935621220600947,-0.3272293027621898,91.14396824433521,200.2216130206563
14,18.206074546182247,23.705771365940052,5.888508538227057,-0.33434298325702,90.95144581486424,201.32896148411922
15,19.652991748207775,23.942477377033484,3.7983746203021838,-0.3272293027621898,91.14396824433521,200.2216130206563
16,16.536632578829042,23.705771365940052,5.995674162848808,-0.34954039158688455,90.54014789735805,202.19770020627968
17,19.595143444449207,25.694768777432028,3.6146312310886564,-0.366185172138641,90.0896787496132,199.81880206340008
18,20.386975406046954,25.694768777432028,3.8553276642195375,-0.34954039158688455,90.38491773783711,196.6340276179546
19,18.465464694737978,23.705771365940052,5.129264646109391,-0.3138730046902637,91.0279440841817,199.40417240459547
20,19.34904767012689,23.705771365940052,4.266402164177384,-0.4529033857871979,89.43934778001311,205.3210063761415
21,20.60804156301984,20.852885682970026,1.1897462059031416,-0.34954039158688455,90.54014789735805,202.23711729760296
22,20.852885682970026,20.852885682970026,0.0,-0.34177282732939823,90.75036683297232,200.69315706060124
23,20.852885682970026,20.852885682970026,0.0,-0.3576692379028586,90.32015133683149,200.45184413419165
24,20.598719806389944,23.705771365940052,2.653773523882393,-0.3272293027621898,90.5008326192762,198.46157289222802
25,20.90215699033864,23.705771365940052,1.3192497493394753,-0.434032411379398,89.87937495584589,203.06971461463593
26,22.13053940101362,27.0,2.4460497226289553,-0.34177282732939823,90.75036683297232,202.52406659080768
27,22.51429606383145,27.885454173430077,3.049713932619298,-0.34177282732939823,90.23042800277561,201.44096265814184
28,22.46733034239399,27.0,2.6180759106400977,-0.3204120256213108,90.84102625260213,199.51720771859792
29,21.81917705886614,27.0,2.202468937705035,-0.44326714353640645,89.66404250809794,204.25100148551886
30,20.84718743415676,27.0,4.059021453506164,-0.42517460706553273,90.08591832409394,201.65719899423118
31,20.91474168952085,25.352885682970026,3.823607908053123,-0.3943532623031518,89.92727576519505,205.15783454735922
32,21.467856660749067,26.28759422170035,4.077082074034102,-0.33434298325702,91.36365092262439,198.91306989726974
33,22.864995060887487,27.0,2.138577971598061,-0.33434298325702,90.95144581486424,199.70541703710077
34,23.57476646333309,27.0,2.0617201976572814,-0.37511651780055905,90.41862816689283,199.6630458424175
35,22.958939698999984,27.0,3.662991002940626,-0.3272293027621898,90.99864639286878,199.20312675567337
36,24.559641241195052,27.0,2.084135384277145,-0.33434298325702,90.95144581486424,201.32896148411922
37,23.814614428435558,27.0,3.3338435769794206,-0.33434298325702,90.95144581486424,199.70541703710077
38,24.364502268669916,27.0,1.8694556407202583,-0.3576692379028586,90.8642733684327,201.6465914389006
39,24.439781206133727,27.0,2.205853896938996,-0.34177282732939823,90.59858623255184,197.383997868635
40,24.776877661328154,27.0,2.2747587021707125,-0.34954039158688455,90.54014789735805,200.8457634180586
41,25.131656765319068,27.0,2.0262587122360585,-0.3272293027621898,90.6461544707426,200.1355538006808
42,24.71975526863244,27.0,2.40182478956313,-0.44326714353640645,89.66404250809795,201.20306269986156
43,24.633367843058796,27.0,1.9635335472430013,-0.44326714353640645,89.66404250809795,201.20306269986156
44,25.54956419967805,27.0,1.6912792141561555,-0.3576692379028586,90.3201513368315,203.4685948230969
45,25.453588991387438,27.0,1.734074841411505,-0.33434298325702,90.80296479271375,197.82748253723722
46,24.922076683640555,27.0,2.286931595099413,-0.34177282732939823,90.75036683297232,201.02183095061486
47,25.728523746947033,27.0,1.6554546997774442,-0.33434298325702,90.44281000271526,200.26940328912002
48,25.67389125173024,28.162541759517264,2.0685762925668123,-0.34177282732939823,90.75036683297232,201.02183095061486
49,25.347891228753248,30.437694101250948,2.5390871231272167,-0.33434298325702,90.44281000271526,200.26940328912002
50,26.058751132864817,28.172556857232667,1.6020118071252993,-0.366185172138641,90.6467560676811,201.26236045829495
51,26.390047476775486,34.652296783660574,2.4418003186801602,-0.3576692379028586,90.76111494048189,195.7477294140487
52,25.537057689820976,27.0,1.887363511198083,-0.3204120256213108,90.69873193970794,197.40089911703868
53,25.35105067180423,27.0,2.1491856879677496,-0.44326714353640645,89.66404250809794,204.25100148551886
54,24.903328437282294,27.0,2.3797580602813553,-0.42517460706553273,90.08591832409394,201.65719899423118
55,25.51996226441962,27.0,2.1008546861291575,-0.34954039158688455,90.54014789735805,203.60345954703337
56,25.759385127825613,27.0,2.1383974781824864,-0.3272293027621898,90.6461544707426,200.1355538006808
57,26.712346281956407,27.0,1.1740408323833218,-0.34954039158688455,90.54014789735805,202.19770020627968
58,26.268807991231608,27.0,1.8770054848967048,-0.3272293027621898,90.6461544707426,200.1355538006808
59,26.33469256391281,27.0,1.6574082104386105,-0.34954039158688455,90.54014789735805,202.19770020627968
60,26.8770577136594,27.0,0.8605960043841961,-0.3576692379028586,90.32015133683149,198.7575236138011
61,26.33469256391281,27.0,1.5905857820815914,-0.34954039158688455,90.38491773783711,195.80558282680238
62,26.27894991876532,27.0,1.8861743518496394,-0.3272293027621898,90.6461544707426,200.1355538006808
63,26.52796547814322,27.0,1.3681603931375286,-0.34177282732939823,90.75036683297232,200.8259022223394
64,26.466461709275205,27.0,1.6394919966268475,-0.366185172138641,90.0896787496132,198.8713104300231
65,26.745288568297,27.0,1.0606319186366804,-0.3576692379028586,90.76111494048189,195.7477294140487
66,26.543434689341016,27.0,1.4474511995210904,-0.34177282732939823,90.59858623255184,197.383997868635
67,26.646461709275204,27.0,1.246260831635267,-0.33434298325702,90.44281000271526,200.26940328912002
68,26.424692563912803,27.0,1.5052229603597675,-0.33434298325702,90.95144581486424,199.70541703710077
69,26.580577136594002,27.0,1.2256589432338647,-0.34954039158688455,90.54014789735805,202.23711729760296
70,26.33511910110982,27.0,1.7681462734110918,-0.3204120256213108,90.84102625260215,198.89245457418681
71,26.386329021028015,27.0,1.6802363910976603,-0.42517460706553273,90.08591832409394,201.8434362490515
72,26.646461709275204,27.0,1.2462608316352672,-0.44326714353640645,89.66404250809794,203.80048388334708
73,26.187634850253403,27.0,2.0237191288694496,-0.34177282732939823,90.75036683297232,200.8259022223394
74,27.0,27.0,0.0,-0.34954039158688455,90.54014789735805,200.8457634180586
75,27.0,27.0,0.0,-0.37511651780055905,90.47702608438154,198.9669472262658
76,26.8770577136594,27.0,0.860596004384196,-0.3272293027621898,90.99864639286878,199.20312675567337
77,27.0,27.0,0.0,-0.44326714353640645,89.66404250809795,201.20306269986156
78,26.565288568297,27.0,1.5150200271329854,-0.34177282732939823,90.75036683297232,200.8259022223394
79,26.343519422934605,27.0,1.815866364890767,-0.33434298325702,90.44281000271526,200.26940328912002
80,26.622346281956407,27.0,1.2593240616229218,-0.33434298325702,90.95144581486424,199.70541703710077
81,26.641040452731012,27.0,1.2899913246551094,-0.3576692379028586,90.8642733684327,201.6465914389006
82,26.70692502541221,27.0,1.149673975825625,-0.3272293027621898,90.5008326192762,198.46157289222802
83,26.613735148414353,30.769750529242295,1.8973635971041083,-0.34954039158688455,90.54014789735805,202.19770020627968
84,26.580577136594005,27.0,1.1805593683481357,-0.3272293027621898,90.6461544707426,200.1355538006808
85,26.64226154836281,27.0,1.1669166148885153,-0.44326714353640645,89.66404250809795,201.20306269986156
86,26.589403995615804,27.0,1.3532290646652732,-0.33434298325702,90.95144581486424,201.32896148411922
87,26.589403995615804,27.0,1.2705077943820888,-0.33434298325702,90.95144581486424,199.70541703710077
88,26.527202070991688,27.791124124767936,1.696342440293237,-0.34177282732939823,90.75036683297232,201.02183095061486
89,26.018044194862924,27.791124124767936,1.9070195314990965,-0.33434298325702,90.44281000271526,200.26940328912002
90,26.732177582102164,31.05441218883247,2.5195104928102103,-0.33434298325702,90.95144581486424,199.70541703710077
91,25.96979247001651,31.05441218883247,2.344957207914636,-0.33434298325702,90.95144581486424,199.70541703710077
92,26.332872969289127,29.43882048802586,1.6457662660628891,-0.33434298325702,90.95144581486424,199.70541703710077
93,26.220577136594006,27.0,1.941148698272189,-0.366185172138641,90.6467560676811,201.26236045829495
94,26.622346281956403,27.0,1.3427345002090554,-0.3576692379028586,90.76111494048189,195.7477294140487
95,26.745288568297006,27.0,1.0606319186366806,-0.34954039158688455,90.38491773783711,195.80558282680238
96,26.7541154273188,27.0,1.2045834773824435,-0.34954039158688455,90.54014789735805,200.30472216142542
97,26.23507114645622,27.0,1.9274748715482564,-0.33434298325702,90.44281000271526,201.27873471627956
98,26.400577136594006,27.0,1.6823579260574701,-0.3576692379028586,90.8642733684327,201.6465914389006
99,26.33469256391281,27.0,1.7528719989871284,-0.33434298325702,90.80296479271375,197.82748253723722
100,25.948211986847408,27.0,2.164243150468944,-0.34177282732939823,90.75036683297232,201.02183095061486
