mean_of_mean_fitness,std_of_mean_fitness,mean_of_max_fitness,std_of_max_fitness,mean_of_stdev_fitness
-2.194,0.616985503161226,50.82000000000001,23.86165357034401,8.6395354996739
8.475999999999999,1.738474427000102,65.042,18.458413197720375,13.94543887080635
14.844,2.7482083052215835,74.26,11.161885543620707,16.553722450196904
17.168,2.140497346153199,78.369,11.221119423262152,18.170590993384643
18.143,2.749480961118945,79.26,10.43418526873192,18.369778482633446
18.548000000000002,2.8025654913549,81.095,11.030504420822187,19.098314350419663
19.261999999999997,2.3510508288848198,82.953,9.777638944721437,19.188314635936756
21.150000000000002,2.7845805588793597,86.053,4.086772837120046,19.867016621125664
20.413999999999998,2.7206910886758173,87.38199999999999,1.6679048733865716,20.145043725527415
20.567999999999998,1.7851909328323023,87.556,1.8220208560826117,20.895906642149413
20.803,2.1150258732328653,87.556,1.8220208560826117,20.890807154195034
20.998,1.8631085135690115,87.556,1.8220208560826117,20.817896270290003
22.498,4.0772152806105835,87.65299999999999,1.7771328344024049,21.80739457753186
21.471999999999998,3.3972138911499563,87.65299999999999,1.7771328344024049,21.53913865281884
23.755999999999997,3.5147979236998026,87.83700000000002,1.6904637759436887,22.664138705118102
23.183,4.489662323357712,87.86500000000001,1.6639194024284327,22.129500776164466
23.847,3.4733047023771983,87.86500000000001,1.6639194024284327,21.95493702630501
24.702,4.090098613318102,88.13399999999999,1.7676550694194986,22.932306082985342
23.852999999999998,5.7084772244638256,88.13399999999999,1.7676550694194986,22.84013382836241
22.752000000000002,3.9569763989973734,88.13399999999999,1.7676550694194986,22.889465109903156
23.987,5.539358266081009,88.21499999999999,1.7758081102541603,23.022172877823497
22.844,3.9802155162196375,88.23599999999999,1.7839294953681477,23.28556844213714
24.113000000000003,4.977324247692396,88.23599999999999,1.7839294953681477,23.374522946390357
24.357,4.9611290157696075,88.23599999999999,1.7839294953681477,23.866987764241255
23.429,3.820199093124743,88.38,1.9021683533390137,23.39146265195905
23.086,5.569023852226408,88.50399999999999,1.6960096959890538,22.936606459954486
23.756,5.024982476475802,88.50399999999999,1.6960096959890538,23.871389294747665
23.866000000000003,4.7536727321561,88.708,1.6628075321241724,24.047956888460668
24.636,3.941283490889174,88.708,1.6628075321241724,24.587199610316276
24.205000000000005,5.206298002313054,88.708,1.6628075321241724,24.719764880364927
24.578999999999997,5.468220206083715,88.708,1.6628075321241724,24.372088677043372
23.509,5.040984141128705,88.708,1.6628075321241724,24.007296168615206
24.219000000000005,5.066007522914097,88.777,1.566539356529401,24.554380644949795
24.366999999999997,4.01286002192396,88.777,1.566539356529401,24.184410380831928
24.471,4.726639515671901,88.777,1.566539356529401,24.74793994863291
25.059,5.478143339165601,88.777,1.566539356529401,24.560289972503746
23.270999999999997,4.067626799225535,88.777,1.566539356529401,23.50543110492881
24.439,4.452920265274114,88.777,1.566539356529401,23.39156166695787
24.743000000000002,6.100497338560011,88.777,1.566539356529401,24.026030901864274
24.389,4.870421952972863,88.801,1.5844974667768374,24.255108841205928
24.785,4.974276608490704,88.89099999999999,1.5966941542519073,24.51772407670174
24.174,5.106525672553154,88.89099999999999,1.5966941542519073,24.90772105997156
