enemy,run,time
1,0,2407907334
1,1,2496307667
1,2,2291639000
1,3,2292188291
1,4,2321298000
1,5,2378740958
1,6,2404425833
1,7,2453760875
1,8,2346231209
1,9,2330159458
4,0,2939454542
4,1,2731188833
4,2,3574043959
4,3,3177189334
4,4,3348294666
4,5,2746367750
4,6,3314977625
4,7,3430767292
4,8,2794070792
4,9,2662229833
6,0,2621770792
6,1,2961324875
6,2,3155314125
6,3,2901417625
6,4,2780942333
6,5,2969775000
6,6,3318233375
6,7,2798466125
6,8,2512471041
6,9,2984923125
