run,fitness,player_life,enemy_life,time
0,54.727034449498206,-3.4687193407332906,-11.353926650031404,220.98908777411376
1,47.75937302274863,3.011406769784457,-16.97456530637899,193.59209059578157
2,46.81235906849447,-6.170489565281294,-15.37795049432761,192.01975545020383
3,44.5481704507564,3.708266082968692,-12.87795049432761,177.44799072712914
4,44.27114966455487,-1.4189739030595805,-12.87795049432761,210.3280214169642
5,44.22586839246283,-7.356130541474346,-10.226341266023542,237.47358399861548
6,44.10163133380683,-9.665888550909798,-10.226341266023542,240.39576162330343
7,43.11635614616539,-7.901264331068148,-11.113807855648991,233.73508214388147
8,41.01986486524946,-10.074946167047344,-5.878168017763382,223.7914146067486
9,39.10292466386061,-4.530373838833029,-8.931741169124091,171.1315976694732
