run,fitness,player_life,enemy_life,time
0,60.64393172405468,-2.0367037912468438,-11.353926650031404,237.3028641389949
1,57.58822834621924,-0.5235916684122124,-9.668742493993992,217.6832890550005
2,56.2256570744828,-6.787058725807068,-5.508618981911514,176.8523626735848
3,50.333947364576005,-2.864099584109031,-12.445600708122493,224.41860511826707
4,48.87588723363932,-4.787414245121752,-11.113807855648991,241.04363119272264
5,47.88527475249839,-8.78436264907438,-9.726964374736294,208.0589786720932
6,46.37344653234169,-6.77791606365,-6.33509561339239,217.6111030851716
7,46.18744024407784,-11.06776396917438,-9.154759474226502,246.97037687059108
8,45.57163138748362,-11.160836360960564,-7.226964374736294,232.6673145692783
9,42.10379957694301,-12.668326548234974,-0.646793489187516,259.6297745166297
