run,fitness,player_life,enemy_life,time
0,60.80746814437472,2.615891862598417,-10.276083947860748,209.56808326546712
1,54.75841888394045,-7.277299347050306,-4.720486043288972,247.43123819401325
2,52.09929546181424,-2.725563428465742,-8.3602010819715,197.4427520823445
3,51.57114204633529,1.2647961647551078,-10.226341266023542,259.34481156262245
4,51.34351776396269,-3.545481576314007,-10.226341266023542,256.41176987490985
5,51.23072079371041,-7.342327529954378,-12.445600708122493,211.4830638852682
6,50.881187143710434,-11.40481489563376,-0.793990110685499,255.4364004082552
7,49.96556002966547,-6.991549625196541,-5.0,223.3775202022672
8,48.87951515280203,-4.154018884703003,-9.726964374736294,204.2293230989345
9,48.85838304759023,-10.007251488447238,-3.467149916606484,214.9538330130725
