generation,max_fitness,mean_fitness,stdev_fitness
0,39.269900217026425,0.09068023788517411,11.428608575574627
1,75.17991706964764,4.983800093037292,14.91385825683814
2,66.26990021702643,10.515677070232504,17.891309403766574
3,57.269900217026425,16.10450699818025,18.801273083267134
4,75.26990021702643,24.281913275082537,24.29686935049371
5,75.1710543823898,20.976017198701534,25.636056830239017
6,75.20394224923463,20.635724628690213,24.571244167457472
7,94.9001335721758,27.464689152047693,26.153085491375037
8,94.83521402607649,31.471654057448276,29.571117952394406
9,94.86420156294975,36.77398408801198,31.907977788632007
10,94.97611947915372,39.78673816519759,31.76651030051625
11,94.92482618476618,50.02131071772155,37.826836601482476
12,94.86420156294975,63.52086409018327,38.7171971064686
13,94.95014399275047,65.82711982626634,36.228023379381206
14,94.92482618476618,51.64624383192183,39.658554943928756
15,94.91240366476762,63.39370832384546,35.83719431761239
16,94.91859563501554,58.38174848230109,38.079666399937004
17,94.92482618476618,57.40721377391242,40.82828215715982
18,94.91859563501554,44.691574320177416,40.4215845522208
19,94.91859563501554,55.624626794228696,40.448465993474414
20,94.91859563501554,59.86060110275893,41.370150363990874
21,94.91859563501554,58.25786955780772,41.647322079560496
22,94.99605369405454,54.212477721849126,41.6814976993786
23,94.99605369405454,56.825544779777154,39.27289496441431
24,94.91859563501554,64.15107711344113,37.21305931219052
25,94.92482618476618,63.12412377336123,37.11711898750624
26,94.95014399275047,60.45413367954514,38.952178300862585
27,94.95014399275047,64.48217957756046,36.79978058586599
28,94.91859563501554,55.79571027361604,39.59925594373992
29,94.97611947915372,54.959978903815234,41.80908191214259
30,94.98936470590374,59.360744128847294,40.8401995342273
31,94.98272016318508,58.933297007776474,38.30963833964173
32,94.98272016318508,58.673327553800306,41.72879147605103
33,94.98936470590374,64.78747810359695,38.9695056432683
34,95.02326625757942,55.070167298817616,42.81679897552066
35,94.97611947915372,55.65017549840798,43.11923099077418
36,94.95014399275047,56.91334799943105,42.77220743617917
37,94.94375419465169,56.06637535898587,41.773519749436716
38,94.95014399275047,66.56125601293944,38.87113695406401
39,94.91859563501554,63.4972316799995,41.202308046562855
40,94.95014399275047,68.88551228207771,36.7441538860609
41,94.95014399275047,53.5278086159923,40.52842972321808
42,94.98272016318508,60.48556174577088,39.98494359767997
43,94.95657488308075,61.36674941256514,39.19739833150634
44,94.98272016318508,66.79662081764336,36.360529295147266
45,94.99605369405454,66.41164249435707,36.305990076106156
46,94.97611947915372,61.511083391227515,41.112146418834364
47,94.95014399275047,55.30077671446797,40.60782302159039
48,94.97611947915372,55.31571445512821,38.971934022749124
49,94.98936470590374,58.77266298852325,40.64101273835261
50,94.98936470590374,70.27966490661127,37.083775675467045
51,94.97611947915372,60.867727611513985,38.71205419274647
52,94.91859563501554,63.288223382508576,38.028411696704325
53,94.98272016318508,65.58391497967666,38.575493004311284
54,94.91859563501554,65.96993172141497,38.636214405900034
55,94.91859563501554,64.70043443444997,39.78139539107495
56,94.91859563501554,65.11803865979032,38.81165236873241
57,94.95014399275047,70.98185527748873,38.023008052112885
58,94.95014399275047,63.48670345239948,38.98165801419745
59,94.98272016318508,68.42987578767702,38.77906702763655
60,94.98272016318508,60.628738134088806,41.76790607174149
61,95.00956741322126,66.34670194847577,37.6178135601235
62,94.98272016318508,49.20475341908431,44.55175255090701
63,95.00956741322126,52.62634736438844,44.88575094772753
64,95.01639337829167,56.95356891477344,41.9884005415342
65,94.97611947915372,60.02652088095773,40.21923367387869
66,94.98936470590374,70.03342574451207,38.546370726806856
67,94.91859563501554,58.01490445737532,41.455108967239724
68,94.95014399275047,66.98794821671717,38.4898704796768
69,94.98936470590374,69.4454252590381,37.313337349129824
70,94.91859563501554,55.651544349175836,42.78498564613131
71,94.91859563501554,53.388956891633654,44.66677040163042
72,94.93109579777976,56.31462993043209,44.02014778568665
73,94.93109579777976,52.48405361268196,42.573942644145795
74,94.92482618476618,49.65406643615909,42.494898374985
75,94.97611947915372,59.51058743847612,41.299929275491756
76,94.91859563501554,63.645154244795265,39.97155053436917
77,94.91859563501554,63.795181871674366,39.79956340745968
78,95.00956741322126,62.55482249784937,41.09391306622097
79,94.97611947915372,56.15373632064558,43.0376787625624
80,94.91859563501554,58.99868024107005,39.06627437321875
81,94.91859563501554,65.4273561020971,41.08967266165383
82,94.91859563501554,58.9782197008771,43.074068295906
83,94.97611947915372,61.50149035667167,43.238172273729404
84,94.91859563501554,59.774946483938294,41.37350782402498
85,94.91859563501554,64.75100988386998,43.26787816574045
86,94.91859563501554,70.02476880722708,38.95380626127104
87,94.91859563501554,65.86113300857915,40.71012194858972
88,94.91859563501554,75.16021921719128,32.78697361982016
89,94.91859563501554,54.07217969874984,42.183721980898206
90,94.91859563501554,60.063467911125784,43.01248516953766
91,94.91859563501554,67.36389177764994,40.68334057440902
92,94.91859563501554,63.227546102571,42.813693042096645
93,94.91859563501554,61.024299578851796,42.283288615173
94,94.91859563501554,55.84947800157,44.93609594813656
95,94.98936470590374,55.7391838123785,42.235397236091714
96,95.00278772623588,62.61599142859274,41.424250149882
97,94.98936470590374,56.57374999002016,42.437323746230625
98,94.98936470590374,65.56233335138013,38.46122491138729
99,94.99605369405454,65.03890656734089,40.06678135729946
