run,fitness,player_life,individual_gain
0,89.29745983353183,57.400000000000325,57.400000000000325
1,90.27321458923952,68.2000000000003,68.2000000000003
2,90.4390534593671,68.8000000000003,68.8000000000003
3,89.46952957785585,59.20000000000033,59.20000000000033
4,90.31586874329959,67.6000000000003,67.6000000000003
5,90.66952957785585,71.20000000000027,71.20000000000027
6,90.79269413745881,72.40000000000026,72.40000000000026
7,91.60473399856038,79.0000000000002,79.0000000000002
8,88.8079510455628,52.600000000000314,52.600000000000314
9,90.78952957785584,72.40000000000026,72.40000000000026
