gen,mean,max,std
0,73.66579186861647,78.89107053251226,2.563574842491173
1,43.6202798015188,78.89107053251226,17.23781292005159
2,39.43637291050811,78.89107053251226,14.1152875363865
3,35.000957964508196,78.4084199910596,6.3475373082751085
4,34.353875051206835,34.78866665170449,0.44241385783481857
5,34.19970523465821,34.742659925088184,1.8483515056881064
6,34.04082270734665,39.55851403470825,2.0234532311999085
7,34.4437596635604,41.472464639005054,1.9663896328581267
8,33.799597102283364,41.472464639005054,2.542873146318814
9,34.38792879970191,34.76604590885026,0.5365860750137782
10,34.11988698774829,34.855246632264354,1.2981195916290935
11,33.93512921689556,34.80423734750304,1.5216391696188776
12,33.43477722111778,34.76604590885026,2.358386894651794
13,33.14867898504524,34.72015803923675,3.2346477044507966
14,33.53906677416715,37.77767710137661,3.0231545619256632
15,33.66607426143775,34.938889714160126,3.155077641490913
16,33.936098860077244,39.57731677412436,2.8575686908267692
17,33.74644013129798,34.938889714160126,2.8540135102843585
18,34.27077874813076,41.41919788066758,2.145800011302278
19,35.26199644088963,41.51299515047519,2.2028254660472255
20,33.9032486596039,41.53494283130281,3.8978982960346626
21,33.45759389142392,41.39966773565619,3.9871894491001676
22,34.24170015282943,41.369986438552914,1.9195569714319047
23,34.9965648082082,41.694118364736894,3.0761376555199225
24,35.10698243314393,41.47517822508698,2.4393581424730155
25,34.45438031757038,41.4221905899591,2.112847808842883
26,35.206986132988916,48.63916048386071,2.69635871485657
27,34.67121004488816,41.65630749627132,3.9285661455305148
28,34.89753531686015,41.65630749627132,2.915951913164657
29,35.8763551824521,52.627436449614116,5.684806820037538
30,33.72053843040234,41.671962972668425,3.339638289015063
31,34.19613087552469,41.671962972668425,3.124916177576626
32,33.2432495505602,41.3592617194658,5.497881189244512
33,34.19361860708938,41.429635069072624,1.721251492146455
34,34.268404615680204,41.429635069072624,2.5074078724775117
35,35.043541888394294,41.429635069072624,3.0764123155040575
36,35.349437804022514,41.52345031085806,2.4873231541354857
37,35.83118941304737,41.52345031085806,2.7390243039891513
38,35.082530480806255,41.52345031085806,2.568937835422347
39,35.07336047973538,41.88883886048413,1.999529317069553
40,35.78749789715911,41.88883886048413,2.9834379306160512
41,35.50048172256048,51.77536102054785,4.776355196795209
42,36.563246086122504,51.77536102054785,5.476500746656423
43,36.43863829072774,52.90400335440371,6.180761742807194
44,36.37097193860318,51.77536102054785,4.726281662772407
45,35.551306550531265,41.823671805638526,2.584019208352593
46,35.58237811189273,41.823671805638526,2.6219738627667426
47,35.75535163419468,41.823671805638526,2.7347734968064352
48,35.90366397983088,41.72633807615246,3.6067639504352544
49,35.58065078134332,41.92943526457469,4.0684893079184485
50,37.163709996066835,41.75219565631329,3.64909742896504
51,36.37521100542698,41.75219565631329,3.7544025288450036
52,35.69484987126847,41.70626725108326,2.5332971340675807
53,35.713483947710344,41.740024347480734,2.8129534822775697
54,35.23222749009014,48.753901210500274,2.9433441053299148
55,35.74468891324209,48.668398658922825,3.31159604088383
56,34.95144017426553,48.76087151227118,3.2980746942089083
57,36.19925698402286,48.76087151227118,4.74151227162141
58,37.97496143398396,62.70915007731926,7.466753918668317
59,37.704836738688186,62.83867834706709,7.842266072894536
60,37.716810564440074,62.70915007731926,6.211611238412727
61,37.118548452638535,46.675427437716024,4.033824161857834
62,38.11048435934256,48.81172674054251,3.8418271630072973
63,37.369379174174014,41.80608533669137,3.3362276420017256
64,38.23814406317642,41.96773644663812,3.6654039259717868
65,39.46567600733606,41.85806897305436,3.2700562491294827
66,40.02061161064121,41.88542833870602,2.8493446292847566
67,39.27947526465086,41.828121065088055,3.6966446342078063
68,39.135613004197445,41.95292003588074,3.481944935090689
69,38.72846244230888,41.965739404078874,3.9855783359753265
70,39.189907290901864,41.87298614977341,3.441116131449084
71,38.76924060480675,41.87298614977341,4.549098385768132
72,38.751930257316154,41.86165701607259,3.4926248750944753
73,39.1720985344423,42.85632449039812,3.8559754372751494
74,39.07611639132055,48.78412528357731,5.08968639358472
75,38.81327003904593,41.85335107888342,3.6719158171360027
76,39.52311765212031,55.84431868963918,5.778977943235327
77,40.1576411078028,53.516096515994604,6.084957762976236
78,41.83960547063887,55.53922445548958,6.97669215156099
79,42.864107163700155,69.63229820459429,5.693283184895249
80,42.521187207097164,55.89969041989049,5.8772047765661215
