run,fitness,player_life,enemy_life,time
0,29.647541827410596,-12.425422398537728,16.03219874770998,198.4981155921648
1,26.358741434478397,-9.356832424739427,1.9945259848881989,131.79733067612813
2,42.103799576943004,-12.668326548234974,-0.646793489187516,259.6297745166297
3,27.1676688480257,-4.113032140183705,-7.941038516477207,141.28924079364737
4,8.522270246711809,-13.166010488516726,30.41960108450192,210.05354928776703
5,31.274028538656605,-14.148711700377671,2.550040064128286,181.43314596486425
6,40.28908716240369,-12.348007644053457,2.5595914503037953,210.95682807523525
7,15.398953512174238,-2.5509145321501623,32.12777108726945,153.98834724564546
8,26.998459126385356,-10.801933632800434,-5.166297933298409,202.54184937134397
9,27.18824820751477,-13.292038222005225,5.582136662990738,168.2047840754849
