run,fitness,player_life,enemy_life,time
0,60.80746814437472,2.615891862598417,-10.276083947860748,209.56808326546712
1,50.881187143710434,-11.40481489563376,-0.793990110685499,255.43640040825517
2,51.23072079371041,-7.342327529954378,-12.445600708122491,211.4830638852682
3,37.42354767228828,-6.487155231138807,-6.892683958907128,191.8976744306983
4,48.87951515280203,-4.154018884703003,-9.726964374736294,204.22932309893451
5,24.329830054819976,-11.418683432928406,10.656904373698957,201.62276943310127
6,51.34351776396269,-3.545481576314007,-10.226341266023542,256.41176987490985
7,42.79679711858617,-2.1806204871606294,13.29713563032848,226.2909667023714
8,47.581706511934314,-6.763733075154608,-7.8388218141501085,207.2176487553299
9,47.0771886460153,-7.114397806159641,-2.8722289127305487,156.26043151199147
10,48.79624626547921,-10.79751584009022,-9.284576865007256,221.77189329602237
11,27.40989855090917,-9.328667199087736,0.7217269979947787,249.9384277747184
12,51.57114204633529,1.2647961647551078,-10.226341266023542,259.34481156262245
13,48.85838304759023,-10.007251488447238,-3.467149916606484,214.95383301307254
14,30.731209764449623,-6.999394313001563,-6.742346141747674,179.37706106683777
15,24.709715506721707,-11.390712792169186,5.796434183839828,106.72609233896219
16,52.099295461814236,-2.725563428465742,-8.3602010819715,197.4427520823445
17,36.24644728296916,-12.348007644053457,9.287017761523842,246.23214579513944
18,54.75841888394045,-7.277299347050306,-4.720486043288972,247.43123819401325
19,49.96556002966547,-6.991549625196541,-5.0,223.37752020226722
