gen,mean_fitness,max_fitness,std_fitness,mean_player_life,mean_enemy_life,mean_time
0,0.6798321822927796,15.348478669366635,2.7128883821764904,-0.3103895424092061,94.99460234804374,200.72747913107534
1,4.959976469851682,23.8973100994169,8.574817204866596,-0.9384268331069193,86.69718386701781,209.57847731879238
2,6.191605538639265,23.8973100994169,8.882594918594098,-0.9188762740838584,87.85537169182471,206.7281830754048
3,10.828404204151933,23.8973100994169,8.27257535323991,-0.750777688692739,88.59212894650292,208.81948392568987
4,11.789463339811089,23.8973100994169,8.747256024270614,-0.6597384716992745,91.27287677291679,201.7921665081384
5,14.111578618240586,27.0,6.107466608991995,-0.7337145594042677,90.26290353787292,201.7816534602665
6,18.92641418369093,27.0,4.780937415472955,-0.750777688692739,89.87761927087178,206.82324989179375
7,20.075439352109107,21.78759422170035,2.3935831473088385,-0.7174097914175062,90.32750285883303,206.9749468470732
8,20.826760753251897,27.0,3.508112097687862,-0.7337145594042677,88.8513987431733,211.34010675262087
9,20.12069917597773,27.0,2.995933083791493,-0.7174097914175062,89.09914543776947,210.96605627162106
10,19.90287918870114,20.852885682970026,2.4313868699643026,-0.6868817151869739,89.56301158935372,208.58164672150448
11,20.568375351405134,20.884954754066968,1.4720784430732818,-0.7018139263866907,89.33612053694837,206.067994813481
12,20.96700111028883,23.705771365940052,0.5590491374214448,-0.7174097914175062,89.09914543776945,209.63616528411998
13,20.664604379071143,20.852885682970026,1.317969127292183,-0.750777688692739,89.87761927087176,208.96530985571772
14,20.664604379071143,20.852885682970026,1.317969127292183,-0.7174097914175062,90.32750285883303,206.9749468470732
15,20.852885682970026,20.852885682970026,0.0,-0.7337145594042677,88.8513987431733,211.34010675262087
16,20.975827969310625,27.0,0.8605960043841963,-0.7018139263866907,89.33612053694839,211.13180687614266
17,21.149349041268096,27.0,2.5115476202005746,-0.7874009905801896,89.38384460115819,206.8562833564674
18,20.688239502662455,26.28759422170035,3.4756489591793303,-0.6868817151869739,90.73909848186142,206.1700090681737
19,21.513462819564033,27.0,1.6703720672080775,-0.7174097914175062,89.09914543776945,207.67269582678495
20,21.135809101520437,23.705771365940052,0.6701167437159707,-0.6868817151869739,89.56301158935372,208.58164672150448
21,21.296953948249282,24.9772961574757,1.2203370786600956,-0.9188762740838584,87.85537169182471,206.7281830754048
22,21.095151240125087,22.97687662295324,0.6240572698735808,-0.9588274164353305,87.32734437407797,206.37951987736236
23,21.76145427753504,28.081071340289782,2.191806438389479,-0.9188762740838584,87.85537169182471,207.24682381957086
24,21.294627612979394,27.0,3.086925991603195,-0.9188762740838584,87.85537169182471,205.977361568025
25,21.70310004544003,25.352885682970026,1.5036279373082464,-0.7174097914175062,89.09914543776947,205.8893316337876
26,21.439262320204598,25.352885682970026,1.4567204173376103,-0.7337145594042677,88.8513987431733,211.34010675262087
27,21.412436491697207,27.0,3.678353646372784,-0.7174097914175062,89.09914543776947,210.96605627162106
28,22.063869734374975,27.0,2.110670045445904,-0.7174097914175062,89.09914543776945,211.5012284709985
29,22.20390453559663,27.0,2.505708216915057,-0.7018139263866907,89.33612053694837,209.81329848716817
30,22.752398018143833,26.50263580767873,1.9674094523867003,-0.7337145594042677,88.8513987431733,211.3584315584226
31,23.584875357635998,28.536950442358997,3.3827960977914175,-0.6725716794539119,89.78044884790886,208.28844231288204
32,22.982512269838086,27.0,1.8676583036450976,-0.9384268331069193,87.59697534484226,206.5711691429733
33,23.243679693914302,27.0,2.2229531702019796,-0.9188762740838584,87.85537169182471,206.7281830754048
34,24.55563849052021,27.0,1.8279596381641283,-0.768653347947328,88.32051296903872,210.60431808547287
35,24.551457422588832,27.0,1.7115856558754092,-0.7174097914175062,90.32750285883301,205.63823699329882
36,24.329996736265755,28.162541759517264,2.2865774231269125,-0.6725716794539119,89.78044884790887,207.02487177344815
37,24.723080542951585,27.0,1.703082360842791,-0.7337145594042677,88.85139874317332,207.5264425978554
38,24.35845227257695,27.0,2.359835070898041,-0.750777688692739,89.87761927087178,206.82324989179375
