run,fitness,player_life,enemy_life,time
0,44.22586839246283,-7.3561305414743465,-10.226341266023542,237.47358399861548
1,47.75937302274863,3.0114067697844575,-16.97456530637899,193.59209059578154
2,43.11635614616539,-7.901264331068148,-11.113807855648993,233.73508214388147
3,44.10163133380683,-9.665888550909798,-10.226341266023542,240.39576162330343
4,46.812359068494466,-6.170489565281294,-15.37795049432761,192.01975545020386
5,41.01986486524946,-10.074946167047344,-5.878168017763382,223.7914146067486
6,39.08923706596228,-1.404622763015933,-8.514702249476645,236.27944107598034
7,44.5481704507564,3.7082660829686915,-12.87795049432761,177.44799072712914
8,54.727034449498206,-3.4687193407332906,-11.353926650031404,220.98908777411378
9,44.27114966455487,-1.4189739030595803,-12.87795049432761,210.3280214169642
