gen,mean_fitness,max_fitness,std_fitness,mean_player_life,mean_enemy_life,mean_time
0,-6.076903882500954,5.4721145810188165,2.935566693226125,-0.2115626833874074,93.38458573575573,201.39806616911935
1,-3.984504849251452,15.420704757105128,3.5759817054467784,0.0,95.62641579500063,184.74745578577105
2,-3.1474633427831242,15.420704757105128,5.602452830247695,0.0,95.18432906741577,184.51056443265458
3,-3.38740964184442,15.420704757105128,4.944277226492544,0.0,95.23668109488611,184.58655969004636
4,-0.4558911586921057,15.4268785600053,8.44288006429806,0.0,95.34745595314456,186.48445773236728
5,-4.209914083873396,7.216729288834378,2.6564785850208716,0.0,95.4531955905731,186.43868980533998
6,-1.8858447206513553,8.895036346474829,5.190849756127095,0.0,95.23668109488611,184.58655969004636
7,-1.6423604596097012,15.447984225589373,6.759978721020822,0.0,95.39370606448465,187.0096805037171
8,3.395054198428911,15.447984225589373,8.318714993577071,0.0,95.07233672014637,186.93120400662036
9,10.735592717707911,15.495149174027887,7.807706923423998,0.0,95.34745595314456,186.05973849409546
10,13.214327741244272,15.472549943356956,4.567355418940454,0.0,95.4917123184318,186.74886670797818
11,12.873681914599326,15.49569794880166,5.61018241749673,-0.1067574094371289,93.90604764464821,184.3025414672579
12,10.506816922796952,15.425852564754505,6.969275171657353,-0.1067574094371289,93.70319361712723,185.3390642254095
13,11.16446907048026,19.721178501531263,7.104140407924646,0.0,95.47327680443779,183.38661471232675
14,12.76249281100643,19.593006297536093,7.100419008023612,0.0,95.18432906741577,185.7249595795336
15,13.88200391658228,16.644983741066458,4.629921030267263,0.0,95.58563497846446,183.5917399984788
16,15.47240822903371,20.417768822934345,2.5658643399665286,0.0,95.37268295564752,184.54126040332756
17,14.956567411778373,20.417768822934345,3.423939044296405,0.0,95.07233672014637,184.7592458743989
18,15.720216260243317,21.291299512831685,3.3328414901627017,0.0,95.23668109488611,185.30439196718493
19,16.2378015976348,21.291299512831685,1.5357019847122335,0.0,95.23668109488611,187.73750555421404
20,16.3069984290247,19.46635410557849,1.4808939771247163,0.0,95.55423568856037,187.54110158455524
21,16.656052949063373,20.881210264353612,1.6456651023771767,0.0,95.39370606448465,184.8854306146637
22,16.408742391431993,20.896290853584688,1.6735994592953323,0.0,95.27894636098497,184.06002307605428
23,16.021324821100553,18.30614596896623,0.9739458190998818,-0.1067574094371289,93.90604764464821,184.3025414672579
24,15.623981243495,18.30126996089471,1.1577224788542178,0.0,95.4947893864577,184.2857701816099
25,15.238411113577195,18.325635873136783,3.097737425041255,0.0,95.34745595314456,185.0085837946698
