run,fitness,player_life,enemy_life,time
0,60.80746814437472,2.615891862598417,-10.276083947860748,209.56808326546712
1,51.23072079371041,-7.342327529954378,-12.445600708122491,211.4830638852682
2,48.87951515280203,-4.154018884703003,-9.726964374736294,204.22932309893451
3,51.34351776396269,-3.545481576314007,-10.226341266023542,256.41176987490985
4,47.581706511934314,-6.763733075154608,-7.8388218141501085,207.2176487553299
5,48.79624626547921,-10.79751584009022,-9.284576865007256,221.77189329602237
6,51.57114204633529,1.2647961647551078,-10.226341266023542,259.34481156262245
7,30.731209764449623,-6.999394313001563,-6.742346141747674,179.37706106683777
8,52.099295461814236,-2.725563428465742,-8.3602010819715,197.4427520823445
9,54.75841888394045,-7.277299347050306,-4.720486043288972,247.43123819401325
