gen,mean,max,std
0,-5.70122301892039,27.61813865703151,5.099227037752841
1,-1.60113720712431,19.81074714006607,6.718439899655443
2,-0.7698493408873526,14.680008071167038,6.798257867738983
3,2.5827499635134155,25.183290159896387,9.674422039910704
4,4.752719054311934,62.07924821000875,16.113877668247095
5,5.694711769483394,55.8957492193218,15.025496489133944
6,6.211825197288693,48.66814973398652,10.576074692119295
7,7.843780759426412,50.79942558509777,14.235413517832699
8,8.048383103687273,56.1222041242158,11.867231162626974
9,9.421564903618647,50.90904159504866,11.39725258137773
10,7.938315534925101,55.86032401722219,12.329211576290335
11,12.893284323061517,53.28719608822051,13.259123690097885
12,15.177363563256986,56.15393254547196,16.830071823891572
13,13.732450616549949,56.15393254547196,14.098220070064038
14,12.861354898262316,34.40691253470263,9.390401226094053
15,11.449780700638541,35.94038024161408,10.50290385340379
16,15.717764825870809,55.79219070537989,12.192772474340488
17,18.95842055795615,70.83874623389008,12.760485316116297
18,18.872200721923775,41.33049384790765,10.111279736923075
19,16.30852894220438,55.80791215362271,13.5254542189442
20,22.854949570223802,77.30429484441267,16.920924795914903
21,24.51601040951108,55.9416430028639,10.558917207115353
22,22.275387962561002,44.123832471164285,11.580622026858597
23,22.69492176563408,51.82659792083556,11.671590024510433
24,22.638310717790937,34.70136832516572,11.560648044213286
25,24.322094222750756,70.25878519895817,13.84417275788009
26,23.701088536319986,56.183999986506265,11.767461052282806
27,27.82226713771437,55.54184799573562,12.597199231538863
28,28.77741034455414,77.2269615745577,13.770034252367015
29,25.83537477975419,78.02023929967031,15.659437871560467
30,26.123287461783935,63.3885349407997,16.154209100195672
31,26.890295237244455,69.81089067063996,15.507399232228476
32,29.687439332896197,77.1607568598563,18.155824778636173
33,29.74756964838889,77.1607568598563,17.967270942149458
34,25.910607250493054,70.37991868550371,16.538136402737745
35,28.049210971381104,77.52474387528643,17.45799556871122
36,38.133715226434454,77.52474387528643,17.652374961847883
37,37.85742514556642,77.52474387528643,19.770410263074353
38,28.512832830877496,70.47266999429394,17.361062574669234
39,35.33644909566044,70.41656302923631,16.075697805693334
40,41.194148319364466,70.73408180132506,18.374731837963974
41,38.557505581099846,70.73408180132506,18.385086493284803
42,42.61420217916845,70.66531445410163,16.547476690160252
43,42.82833159739759,77.39227964649179,16.45096852050465
44,41.58193180927191,77.39227964649179,19.613808030305574
45,46.70997459203224,77.58520921989822,16.61573482081668
46,43.62477598863348,86.17782109968334,21.572705313436554
47,48.82046509424493,86.53807649966255,16.482693036959457
48,53.57375663643412,86.62676403423829,22.29240313766614
49,57.644353392976,87.28576607371942,17.932513958593194
50,55.440782816027266,86.4753215016977,16.210756280658817
51,64.70948512267073,86.9202971862376,16.100532809701388
52,70.01915894810783,87.1751690677226,14.869325313351332
53,69.22818595333518,87.0748097910255,14.504740447087281
54,70.48622668372155,87.72566815345728,13.118425366868356
55,66.09716990974856,87.64288936228341,15.311924088085172
56,67.62766618632348,86.8435955030815,14.572410492284286
57,63.55314943509182,88.33751485906075,15.906464001028272
58,64.13882546581077,88.10112787052249,13.725816608499791
59,68.4339218150759,86.76515639946767,14.795978534250294
60,69.59045976008615,86.6918623664916,15.476704111946969
61,68.02187448499669,87.58622882688347,15.706006692206323
62,64.63381436775367,87.04860560037254,16.10282520615054
63,66.29455702612844,86.5098556640643,15.462519608689586
64,64.95066534118024,86.43522432845889,17.83942657527187
65,68.88969047556148,86.45045318899975,16.1823557480601
66,70.07531852797413,86.63448556346067,15.228713746646624
67,66.65804357335536,87.24260170250669,17.19764426506273
68,64.90089725063096,88.07466718237879,18.965652296450354
69,66.5390895452724,88.07466718237879,19.75469329169196
70,71.99270126458283,87.8943291404549,16.993086423315088
71,76.9708713111345,88.21150664803415,13.26065056266654
72,77.2371897475809,88.21150664803415,13.496163569506884
73,77.57037520137142,88.32525876647568,13.549544357980286
74,78.13450032955483,87.776961292573,12.570818439957899
75,72.52232247261975,87.9440470479753,16.56002724225835
76,77.97669517551053,88.21196002414123,12.775630326004327
77,76.76734855576586,87.89374244749354,14.6014834320192
78,76.66711865707344,87.64327819422385,15.47688691732693
79,79.42079960932426,87.77381017932734,11.660161609816493
80,77.1117122518424,87.44441458912495,15.529988532978722
81,72.17841550230112,87.8144549015915,14.974383059764168
82,76.86626857551347,87.76585351395754,13.36169138511081
83,75.24935547176143,86.58900548949434,15.825694198475194
84,75.30603137126487,88.04090227977454,15.595469501941297
85,74.41225144664003,88.04090227977454,15.847333005833558
86,78.57783895562285,88.16398776825282,12.945852719800028
87,76.70616145347807,87.80959718437265,13.88736565028072
88,78.50642122998879,86.99339541363383,12.846519272690417
89,79.75630415892387,87.64602220537604,13.85139152397033
90,79.38535498382062,87.40662783807517,13.756927091746244
91,75.15779258234214,88.36072053002042,15.88180988447379
92,72.95595422284183,88.2436383363106,17.422037880579182
93,77.37947677474818,87.6389210481577,14.609658590815481
94,76.78270250982978,87.81818766226523,16.771297137419293
95,73.52462707208693,87.81818766226523,18.151853085253773
96,73.99210475585656,87.81818766226523,15.229631651686294
97,68.08987285556508,87.78580191424139,15.417414034277888
98,57.63149207603585,86.96288309809867,15.333710344414714
99,62.45856651303123,85.76247133938192,15.250449905741599
100,66.28935590024004,86.60772114063269,18.58565882685154
